country,country_code,year,agriculture_pct_gdp,gdp_usd,gdp_per_capita_usd,inflation_pct,population
Benin,BEN,2023,25.4019723667563,19673291004.1444,1394.17784721831,2.73870078406075,14111034.0
Benin,BEN,2024,24.2317229519649,21482643706.4249,1485.38018885134,1.16093089640415,14462724.0
Benin,BEN,2025,22.9191586398898,24566420903.5337,1658.27312662991,1.10155247902978,14814460.0
Cote d'Ivoire,CIV,2000,16.195154514693,16577533891.8785,936.636541348798,2.53077516737997,17699004.0
Cote d'Ivoire,CIV,2001,17.2770975527184,16810537043.8407,924.727294962066,4.36152914007256,18178913.0
Cote d'Ivoire,CIV,2002,18.737314157226,18054383320.8474,967.815864415991,3.07726485157427,18654771.0
Cote d'Ivoire,CIV,2003,20.7760202202729,21251754340.4305,1111.17135087887,3.29680746974208,19125542.0
Cote d'Ivoire,CIV,2004,16.640018984398,23510575681.3686,1199.82524528546,1.45798835600741,19595000.0
Cote d'Ivoire,CIV,2005,16.0651853584803,24036918703.1747,1197.74616979415,3.88583039886482,20068458.0
Cote d'Ivoire,CIV,2006,15.9447949066292,25281413263.3712,1230.43056838584,2.46719148596915,20546802.0
Cote d'Ivoire,CIV,2007,15.5787463255399,28760090953.3081,1367.53817722326,1.89200629349598,21030558.0
Cote d'Ivoire,CIV,2008,16.1854841829726,34078240293.2559,1583.97066701372,6.30852769152578,21514439.0
Cote d'Ivoire,CIV,2009,15.2495816385759,33886813250.2036,1540.45393569596,1.01950457731138,21997940.0
Cote d'Ivoire,CIV,2010,17.4889170707842,34936307980.063,1553.54887048143,1.2264561213548,22488065.0
Cote d'Ivoire,CIV,2011,18.4866714886447,36693710801.3976,1596.62826565998,4.9124339505245,22982000.0
Cote d'Ivoire,CIV,2012,16.3751498758861,36302302877.2977,1546.9460184731,1.30451119915606,23467078.0
Cote d'Ivoire,CIV,2013,15.3429019354945,42760235484.6093,1786.15862031324,2.58117037252936,23939775.0
Cote d'Ivoire,CIV,2014,15.2417555256185,48843005613.7091,1991.36539423404,0.448682076766141,24527395.0
